,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
0,1,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,449.0,0.0,2018
1,1,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,78.69,1320340.82,2018
2,1,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,3404.0,0.0,2018
3,1,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-5622.0,0.0,2018
4,1,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-32165.0,10838.02,2018
5,1,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,5976.0,29101.44,2018
6,1,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2892.0,0.0,2018
7,1,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-6.0,10609.6,2018
8,1,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-12.0,538790.6900000001,2018
9,1,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,600.0,0.0,2018
10,1,In,0,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2163.0,0.0,2018
11,1,In,0,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,1996.0,0.0,2018
12,1,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,67133.41,1099102.01,2018
13,1,In,0,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,356994.0,0.0,2018
14,1,In,0,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,141584.15,0.0,2018
15,1,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,51068.0,0.0,2018
16,1,In,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,2798.0,10536.15,2018
17,1,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,62166.0,75809.18,2018
18,1,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,733.44,69448.73999999999,2018
19,1,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2857.0,6179797.83,2018
20,1,In,0,Hospital,HOSPITALS,Other,sq. ft.,444.0,7190.05,2018
21,1,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,671.0,0.0,2018
22,1,In,0,Jr./Community College (25 SF/St),COLLEGES,Other,student,29.0,0.0,2018
23,1,In,0,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-40846.0,97185.01,2018
24,1,In,0,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,12227.0,19135.44,2018
25,1,In,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,274922.0,0.0,2018
26,1,In,0,Motel,"HOTELS, MOTELS",Commercial/Retail,room,3.0,24741.98,2018
27,1,In,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,48084.0,7519106.869999997,2018
28,1,In,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,59073.0,5152070.800000001,2018
29,1,In,0,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,5757.0,135090.31,2018
30,1,In,0,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,137832.0,0.0,2018
31,1,In,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-29.5,8463359.380000005,2018
32,1,In,0,Unknown*,Unknown,Unknown,0,-1640751.62,68208.11,2018
33,1,In,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-218049.0,472380.98999999993,2018
34,2,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,36.0,0.0,2018
35,2,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-6.1200000000000045,837386.1499999999,2018
36,2,In,0,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-11992.0,0.0,2018
37,2,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-1769.0,35629.65,2018
38,2,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-5564.0,0.0,2018
39,2,In,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-14934.0,0.0,2018
40,2,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-5845.0,11388.4,2018
41,2,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,-2399.0,0.0,2018
42,2,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2841.0,0.0,2018
43,2,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,9.0,193093.53,2018
44,2,In,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,7926.0,159166.49,2018
45,2,In,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,7611.0,0.0,2018
46,2,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,106.86,177780.57,2018
47,2,In,0,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-6097.0,0.0,2018
48,2,In,0,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,39246.0,0.0,2018
49,2,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-44031.38,751575.1000000001,2018
50,2,In,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,162159.0,0.0,2018
51,2,In,0,Golf Course,"GOLF COURSE, DRIVING RANGE",Other,hole,-8.0,0.0,2018
52,2,In,0,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,535.0,150501.12,2018
53,2,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,23575.83,95765.69,2018
54,2,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,316.0,100572.54999999999,2018
55,2,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1085.0,5894416.7299999995,2018
56,2,In,0,High-Turnover Restaurant,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1836.0,0.0,2018
57,2,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,796.0,1917353.7700000003,2018
58,2,In,0,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-5014.0,88306.44,2018
59,2,In,0,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,5130.0,0.0,2018
60,2,In,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,128309.0,0.0,2018
61,2,In,0,Motel,"HOTELS, MOTELS",Commercial/Retail,room,-10.51,9183.86,2018
62,2,In,0,Pharmacy/Drugstore w/ Drive-Thru,"STORES, ONE STORY",Commercial/Retail,sq. ft.,19421.0,0.0,2018
63,2,In,0,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,-6.26,0.0,2018
64,2,In,0,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,18715.0,337753.34,2018
65,2,In,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1520.6900000000023,3861432.5900000003,2018
