,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,97185.01,-147572.799322,0.0,2018
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,472380.99,-1003997.251856,-8947.898,2018
2,1,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,622580.663384,8947.898,2018
3,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8463359.38,-263962.991,-8947.898,2018
4,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,1643636.6800000002,494391.01392000006,8947.898,2018
5,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,6179797.83,11218667.61,-11004.768,2018
6,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,10609.6,-32870.988,10956.996,2018
7,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,68208.11,5595587.096,-8947.898,2018
8,1,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,157142.04,2619162.027,8947.898,2018
9,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,24741.98,25552.131,8947.898,2018
10,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,10536.15,10881.091836,-8947.898,2018
11,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,0.0,111651.59999999999,8947.898,2018
12,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,32424.697000000004,-8947.898,2018
13,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,10838.02,-179918.75513500004,0.0,2018
14,1,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,7190.049999999999,7425.493739999831,0.0,2018
15,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,29101.44,178889.253264,0.0,2018
16,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1065312.23,920879.95113822,0.0,2018
17,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,0.0,634851.382388,0.0,2018
18,1,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,0.0,3447123.711174,8947.898,2018
19,1,In,0.0,710-04,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,0.0,1279607.39027605,-8947.898,2018
20,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,19135.440000000002,411670.25165000005,8947.898,2018
21,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,7519106.87,847534.7868359999,-8947.898,2018
22,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,5152070.800000001,778056.626592,283.6980000000003,2018
23,1,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,1729541.9862479998,0.0,2018
24,1,In,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,135090.31,139513.750563,0.0,2018
25,1,In,0.0,841-00,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,0.0,-128174.22955799999,-8947.898,2018
26,1,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,51109.756268000005,8947.898,2018
27,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,75809.18,3022933.33797,8947.898,2018
28,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,69448.73999999999,1087236.7872,-8947.898,2018
29,1,In,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,0.0,137129.20197999998,8947.898,2018
30,1,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,102965.98548599999,-8947.898,2018
31,1,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,159003.68697599997,-10893.297999999999,2018
32,1,In,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,-18652.122046,10956.996,2018
33,1,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,33789.78,57988.406334,-10893.297999999999,2018
34,2,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,88306.44,-18115.115697999998,-10893.297999999999,2018
35,2,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,2088490.6199999999,2485731.769986,-10956.998,2018
36,2,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,0.0,290564.968748,-10893.297999999999,2018
37,2,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,458084.16000000003,-365969.02819999994,4615.798,2018
38,2,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,837386.15,-38450.540160000004,-4473.949,2018
39,2,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,5479816.8,3789294.45,4615.798,2018
40,2,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,183455.21,27392.48999999999,-4473.949,2018
41,2,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,0.0,1786326.1386099998,-8806.048999999999,2018
42,2,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,649440.4299999999,5161949.944,8947.898,2018
