,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,100075.31,62495.446716,1727600.163716,2020
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,9373347.629999999,-688348.54333372,-247692.302288,2020
2,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,2098199.56,-387282.04744,-10618.713064,2020
3,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,1360259.21,-629902.272,10855.136856,2020
4,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1765357.4300000002,26205442.26,92.48636800000031,2020
5,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,61725.61,40902.876,-2525.376488,2020
6,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,3664499.392,2581.594152,2020
7,1,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,1530542.628,135.52419199999986,2020
8,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,99929.30200000001,-3836.54298,2020
9,1,In,0.0,480-00,Amusement Park,TOURIST ATTRACTIONS,Other,acre,199995.69,249311.67469999997,2783.767188,2020
10,1,In,0.0,490-00,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,30021.350000000002,32020.234,1052.783984,2020
11,1,In,0.0,491-00,Racquet Club,OUTDOOR RECREATIONAL,Other,court,0.0,79844.54,20.235767999999894,2020
12,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,2509.12,7901.58186,-42444.46772,2020
13,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,0.0,93283.72,43389.44388,2020
14,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,-341065.868,-30662.259108000002,2020
15,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,0.0,-2129.881278,30662.333533999998,2020
