,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-87963.49484,-148122.78285077852,0.0,0.0,0.0,2018
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-578882.2003200001,-332468.4248091101,6616486.119999999,-3719.6644196898396,-9053.22441968984,2018
2,1,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,371100.71248,383059.48575305083,0.0,3719.6644196898396,9053.22441968984,2018
3,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-157340.02,-281371.08508025575,8463359.38,-3719.6644196898396,-9053.22441968984,2018
4,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,294690.9024,581990.7491164401,1726671.4700000002,3719.6644196898396,9053.22441968984,2018
5,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,6687094.2,12845638.81007826,5861198.92,0.0,0.0,2018
6,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-19593.36,-35525.01921653905,157010.15000000002,0.0,0.0,2018
7,1,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-28087.2,-41708.554984605566,3478808.7600000002,3719.6644196898396,9053.22441968984,2018
8,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,3335353.1199999996,5667796.552796608,525939.99,-3719.6644196898396,-9053.22441968984,2018
9,1,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1561199.9399999997,2023329.6923176362,0.0,3719.6644196898396,9053.22441968984,2018
10,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,15230.82,10154.335697560222,24741.98,-3719.6644196898396,-9053.22441968984,2018
11,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,6485.8759199999995,4571.908009848266,10536.15,3719.6644196898396,389.0244196898402,2018
12,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,66551.99999999999,1046388.2009542877,0.0,0.0,0.0,2018
13,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,19327.339999999997,15830.631919250249,0.0,0.0,0.0,2018
14,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-107243.8997,-89936.49218260005,10838.02,-3719.6644196898396,-9053.22441968984,2018
15,1,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,4426.102799999993,4160.304109621793,7190.049999999999,3719.6644196898396,9053.22441968984,2018
16,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,106630.24607999998,76666.90425592587,29101.44,3719.6644196898396,9053.22441968984,2018
17,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,548907.5168484,806574.8497413648,225951.94,-3719.6644196898396,-9053.22441968984,2018
18,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,378414.90135999996,631048.0841118174,0.0,3719.6644196898396,9053.22441968984,2018
19,1,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,2054721.8062799997,4300661.055976082,0.0,-3719.6644196898396,-9053.22441968984,2018
20,1,In,0.0,710-04,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,762733.6378309999,1687492.6050525922,0.0,-3719.6644196898396,-10998.624419689839,2018
21,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,245383.663,143050.08772921332,19135.440000000002,3719.6644196898396,8883.33441968984,2018
22,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,445964.31185999996,637592.5426901038,1423443.82,-3719.6644196898396,-10998.624419689839,2018
23,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,463775.03423999995,473617.6012089063,72302.56999999999,-3719.6644196898396,-24723.29441968984,2018
24,1,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1030925.4705599999,824229.3251360819,0.0,-3719.6644196898396,-10998.624419689839,2018
25,1,In,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,83159.74986,95022.31102390192,135090.31,-3719.6644196898396,-11062.32441968984,2018
26,1,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,30464.914960000002,3955.457450068903,0.0,-3719.6644196898396,-10998.624419689839,2018
27,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1762368.8747,653411.5518034892,2306716.4,-3719.6644196898396,-9091.364419689839,2018
28,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,648067.5839999999,307038.18726962514,114625.47,0.0,0.0,2018
29,1,In,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,81738.39559999999,62693.50880724695,0.0,3719.6644196898396,389.0244196898402,2018
30,1,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,61374.77892,92412.06287616085,0.0,0.0,0.0,2018
31,1,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,94777.08671999998,215233.91088605963,0.0,3719.6644196898396,9053.22441968984,2018
32,1,In,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-11117.94212,-6385.348697389464,33789.78,-3719.6644196898396,-9053.22441968984,2018
33,1,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,34565.061480000004,50790.5401434535,0.0,3719.6644196898396,8883.33441968984,2018
34,2,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-10797.849559999999,-21626.521205757737,0.0,0.0,0.0,2018
35,2,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1495755.99132,1021764.8704413436,2355248.17,3719.6644196898396,9053.22441968984,2018
36,2,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,173196.62055999998,212639.4561983825,0.0,-3719.6644196898396,-9053.22441968984,2018
37,2,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-218142.604,-425492.4002198094,458084.16000000003,3719.6644196898396,8877.774419689838,2018
38,2,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-22919.15520000001,-49369.5317796795,1289190.55,3719.6644196898396,105.32441968983767,2018
39,2,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2258679.0,4732425.976036832,5405937.5,3719.6644196898396,389.0244196898402,2018
40,2,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,16327.800000000003,32289.708586570225,183455.21,-3719.6644196898396,-10998.624419689839,2018
41,2,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,217348.11599999998,352033.20298157854,253848.50999999998,-3719.6644196898396,-10998.624419689839,2018
42,2,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,1064772.7142,2043293.7096758927,0.0,-3719.6644196898396,-9053.22441968984,2018
43,2,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,3076875.6799999997,5702869.473792732,2492787.8800000004,3719.6644196898396,9053.22441968984,2018
44,2,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,125174.16,176943.1949030619,0.0,3719.6644196898396,9053.22441968984,2018
45,2,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,-53358.6394,-38801.09913891664,9183.86,-3719.6644196898396,-9053.22441968984,2018
46,2,In,0.0,430-00,Golf Course,"GOLF COURSE, DRIVING RANGE",Other,hole,-164838.4,-117498.27285491007,0.0,-3719.6644196898396,-10998.624419689839,2018
47,2,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,334931.39999999997,1191954.301772502,150501.12,-1859.8322098449198,-8858.712209844918,2018
48,2,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-19488.2821,-19438.68626697208,0.0,3719.6644196898396,9053.22441968984,2018
49,2,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,11655.937020000001,134369.6707880809,11388.4,-1859.8322098449198,-8858.712209844918,2018
50,2,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,-42805.54891999999,-38644.70971636749,0.0,3719.6644196898396,9053.22441968984,2018
51,2,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-382687.2911112,-706076.8954508434,80982.54000000001,-3719.6644196898396,-10998.624419689839,2018
52,2,In,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,1024630.8301199999,2477773.825673535,0.0,-3719.6644196898396,-10998.624419689839,2018
53,2,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,102953.97,75361.24150922414,0.0,3719.6644196898396,389.0244196898402,2018
54,2,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,35266.66068219998,63309.65186944004,699052.2,3719.6644196898396,389.0244196898402,2018
55,2,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,601424.5132800001,771194.73537935,44491.77000000001,0.0,0.0,2018
56,2,In,0.0,820-08,"Shopping Center/General Retail [600,001-800,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,23827.167,32374.035230044086,38706.52,0.0,0.0,2018
57,2,In,0.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,201323.99240000005,254871.66445424955,337753.33999999997,0.0,0.0,2018
