,Ring,SMART,STATUS,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-93388.67448,-152394.6488400606,784095.5800000001,-59005.9743600606,-936490.2288400606,2019
1,1,In,Assessed,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-216556.10743000003,-120527.67128236887,248747.63,96028.43614763116,-369275.3012823689,2019
2,1,In,Assessed,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-132090.72,-228912.0692178352,1374678.77,-96821.3492178352,-1603590.839217835,2019
3,1,In,Assessed,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,699470.88,1338674.8708867156,1073361.8,639203.9908867156,265313.07088671555,2019
4,1,In,Assessed,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1497485.9999999998,2787643.0039371788,1365172.09,1290157.003937179,1422470.9139371787,2019
5,1,In,Assessed,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,20218.68,35525.01921653905,0.0,15306.339216539047,35525.01921653905,2019
6,1,In,Assessed,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-19322.399999999998,-27805.703323070382,2447261.66,-8483.303323070384,-2475067.3633230706,2019
7,1,In,Assessed,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1959415.5199999998,3226674.0434699017,0.0,1267258.5234699019,3226674.0434699017,2019
8,1,In,Assessed,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1072820.97,1347384.3608084037,0.0,274563.3908084037,1347384.3608084037,2019
9,1,In,Assessed,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,30696.943980000004,24946.786359495032,0.0,-5750.157620504971,24946.786359495032,2019
10,1,In,Assessed,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,-12140.214450000001,-114026.6939205512,0.0,-101886.4794705512,-114026.6939205512,2019
11,1,In,Assessed,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,829161.2574,755263.8568737371,1348029.3599999999,-73897.40052626294,-592765.5031262628,2019
12,1,In,Assessed,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,117811.79232,167760.7581906978,2385325.74,49948.96587069779,-2217564.9818093022,2019
13,1,In,Assessed,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,550326.97121,889346.7858857133,0.0,339019.8146757133,889346.7858857133,2019
14,1,In,Assessed,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,936053.49006,1746982.5412490338,0.0,810929.0511890338,1746982.5412490338,2019
15,1,In,Assessed,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-10234.772193799996,-14180.038922663858,1686022.81,-3945.266728863862,-1700202.8489226638,2019
16,1,In,Assessed,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,402949.42272000003,398774.266567274,0.0,-4175.156152726035,398774.266567274,2019
17,1,In,Assessed,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,446456.76675999997,345904.58734670846,0.0,-100552.17941329151,345904.58734670846,2019
18,1,In,Assessed,0.0,820-06,"Shopping Center/General Retail [400,001-500,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,6850899.74959,7338949.838082207,0.0,488050.08849220723,7338949.838082207,2019
19,1,In,Assessed,0.0,850-00,Supermarket (free standing),SUPERMARKETS,Commercial/Retail,sq. ft.,402661.47822,342462.90317484544,0.0,-60198.57504515455,342462.90317484544,2019
20,1,In,Assessed,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,16863.78562,2121.81706927903,0.0,-14741.968550720969,2121.81706927903,2019
21,1,In,Assessed,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,663228.615091,238291.94881453045,155816.0,-424936.66627646954,82475.94881453045,2019
22,1,In,Assessed,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,210625.8,96702.96310438946,12426.66,-113922.83689561053,84276.30310438946,2019
23,1,In,Assessed,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,64443.526249999995,47899.59966485551,104770.55,-16543.926585144487,-56870.950335144495,2019
24,1,In,Assessed,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,27854.519999999997,62418.16996170397,45285.14,34563.64996170397,17133.02996170397,2019
25,1,In,Assessed,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-200843.27628,-285995.31203733914,2083582.45464,-85152.03575733915,-2369577.766677339,2019
26,1,In,Assessed,1.0,820-07,"Shopping Center/General Retail [500,001-600,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,-7015829.55381,-7400619.244667091,0.0,-384789.690857091,-7400619.244667091,2019
27,1,In,Collected,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-56347.87812,-91950.28355198403,180820.84,-35602.40543198403,-272771.123551984,2019
28,1,In,Collected,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-246391.94458,-137133.2707047351,891248.74,109258.67387526491,-1028382.0107047351,2019
29,1,In,Collected,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-132090.72,-228912.0692178352,47105.00000000001,-96821.3492178352,-276017.0692178352,2019
30,1,In,Collected,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,556485.12,1065023.1016999283,681775.26,508537.9816999283,383247.8416999283,2019
31,1,In,Collected,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,6354654.3,11829497.973159222,1755811.85,5474843.673159222,10073686.123159222,2019
32,1,In,Collected,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-6739.5599999999995,-11841.673072179681,0.0,-5102.113072179682,-11841.673072179681,2019
33,1,In,Collected,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-14491.8,-20854.277492302783,1081579.71,-6362.4774923027835,-1102433.9874923027,2019
34,1,In,Collected,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,12462.56,21015.93855813459,0.0,8553.37855813459,21015.93855813459,2019
35,1,In,Collected,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,4842115.84,7973770.411087925,100070.12,3131654.5710879248,7873700.2910879245,2019
36,1,In,Collected,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,41911.76,27078.228526827257,0.0,-14833.531473172745,27078.228526827257,2019
37,1,In,Collected,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,30217.44,460410.80841988657,0.0,430193.36841988657,460410.80841988657,2019
38,1,In,Collected,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-111685.7145139,-90764.72437129608,0.0,20920.99014260393,-90764.72437129608,2019
39,1,In,Collected,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,82598.65444,57551.49472759094,0.0,-25047.159712409055,57551.49472759094,2019
40,1,In,Collected,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1010978.7208799999,1439605.945972002,5602586.22,428627.2250920022,-4162980.2740279976,2019
41,1,In,Collected,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,389023.84275999997,628675.5370735651,0.0,239651.6943135651,628675.5370735651,2019
42,1,In,Collected,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-16933.32298,-31603.129442415597,11463.16,-14669.806462415596,-43066.2894424156,2019
43,1,In,Collected,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,59456.97450000001,33589.33523109278,0.0,-25867.63926890723,33589.33523109278,2019
44,1,In,Collected,0.0,760-00,Research Center,PROFESSIONAL BUILDING,Office,sq. ft.,-4434.4209599999995,-12402.693208894421,0.0,-7968.272248894422,-12402.693208894421,2019
45,1,In,Collected,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-211879.0392531,-293553.48283429386,9493321.85,-81674.44358119386,-9786875.332834294,2019
46,1,In,Collected,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,430316.08704,425857.37148633495,152876.96,-4458.715553665068,272980.411486335,2019
47,1,In,Collected,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,387465.87629,300199.7819893526,0.0,-87266.09430064738,300199.7819893526,2019
48,1,In,Collected,0.0,850-00,Supermarket (free standing),SUPERMARKETS,Commercial/Retail,sq. ft.,-120549.00816,-102526.7266484475,0.0,18022.2815115525,-102526.7266484475,2019
49,1,In,Collected,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,224594.22195,384426.7100002838,180626.59999999998,159832.48805028378,203800.1100002838,2019
50,1,In,Collected,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,23984.25589,3017.7212097029796,0.0,-20966.53468029702,3017.7212097029796,2019
51,1,In,Collected,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,54075.139019999995,35617.97253342579,31510.219999999998,-18457.166486574206,4107.752533425792,2019
52,1,In,Collected,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,224387.58576,2579643.8402360436,0.0,2355256.2544760434,2579643.8402360436,2019
53,1,In,Collected,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2769900.6495999997,995199.8583855653,654751.81,-1774700.7912144344,340448.0483855653,2019
54,1,In,Collected,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,62914.2,28885.300667544903,45616.29,-34028.8993324551,-16730.989332455098,2019
55,1,In,Collected,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,31619.904799999997,69586.34394137819,0.0,37966.43914137819,69586.34394137819,2019
56,1,In,Letter of Credit submitted,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-33610.57178,-18706.486716943586,0.0,14904.085063056413,-18706.486716943586,2019
57,1,In,Letter of Credit submitted,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,126316.53019,175008.61580046645,150718.5,48692.08561046644,24290.115800466447,2019
58,2,In,Assessed,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-9353.53443,-18154.373305750763,0.0,-8800.838875750764,-18154.373305750763,2019
59,2,In,Assessed,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-77929.44692000002,-51587.9094922548,65399.92,26341.537427745214,-116987.8294922548,2019
60,2,In,Assessed,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-5834.006799999999,-11027.431399339803,84152.12000000001,-5193.4245993398035,-95179.5513993398,2019
61,2,In,Assessed,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-1089706.0703999999,-2274709.2436656873,184846.48,-1185003.1732656874,-2459555.7236656873,2019
62,2,In,Assessed,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,915398.7,1858641.911832082,0.0,943243.2118320821,1858641.911832082,2019
63,2,In,Assessed,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,49417.03799999999,77564.06776871739,71535.87,28147.029768717395,6028.197768717393,2019
64,2,In,Assessed,0.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,-83438.08079999998,-160236.30131356005,0.0,-76798.22051356007,-160236.30131356005,2019
65,2,In,Assessed,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,-305332.72,-561598.4810824635,0.0,-256265.76108246355,-561598.4810824635,2019
66,2,In,Assessed,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,841215.0399999999,1510937.9542843425,145093.46,669722.9142843426,1365844.4942843425,2019
67,2,In,Assessed,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,7176.0599999999995,9830.17749461455,0.0,2654.117494614551,9830.17749461455,2019
68,2,In,Assessed,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,-228261.9229,-160852.89148264492,0.0,67409.03141735509,-160852.89148264492,2019
69,2,In,Assessed,0.0,480-00,Amusement Park,TOURIST ATTRACTIONS,Other,acre,96902.75749999999,55515.56500715357,0.0,-41387.19249284642,55515.56500715357,2019
70,2,In,Assessed,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,3456.4689,2808.3266836195153,0.0,-648.1422163804846,2808.3266836195153,2019
71,2,In,Assessed,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,16367.779999999999,296624.9151881167,0.0,280257.1351881167,296624.9151881167,2019
72,2,In,Assessed,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,-5168.16,-17823.615727439283,0.0,-12655.455727439283,-17823.615727439283,2019
73,2,In,Assessed,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,15854.238720000001,15324.801765304934,0.0,-529.4369546950675,15324.801765304934,2019
74,2,In,Assessed,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,31428.886580000006,351106.74770685623,78728.67,319677.86112685624,272378.07770685625,2019
75,2,In,Assessed,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,166854.43748,145976.8067735399,0.0,-20877.6307064601,145976.8067735399,2019
