,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,C2019158764-0,610-00,Hospital,HOSPITALS,Other,sq. ft.,1391623.22376,755263.8568737371,1348029.3599999999,-636359.3668862629,-592765.5031262628,2019
1,1,In,Assessed,0.0,M2015015021-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1657971.48,1838945.1429198487,1238284.7203114738,180973.6629198487,600660.4226083749,2019
2,1,In,Assessed,0.0,M2015015021-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,111915.23199999999,109808.2789662532,83585.82968852618,-2106.9530337467877,26222.44927772702,2019
3,1,In,Assessed,0.0,M2016004278-0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,0.0,0.0,0.0,0.0,0.0,2019
4,1,In,Assessed,0.0,M2017003195-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-306947.47978399997,-101788.27039688204,0.0,205159.20938711794,-101788.27039688204,2019
5,1,In,Assessed,0.0,M2017003195-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,83586.465864,70917.7443843594,0.0,-12668.721479640604,70917.7443843594,2019
6,1,In,Assessed,0.0,M2017003195-0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,749310.9446239999,345904.58734670846,0.0,-403406.3572772914,345904.58734670846,2019
7,1,In,Assessed,0.0,M2017003622-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-12242.73767992,-10106.368284513763,0.0,2136.3693954062364,-10106.368284513763,2019
8,1,In,Assessed,0.0,M2017003622-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,12242.56,3349.020367251583,0.0,-8893.539632748416,3349.020367251583,2019
9,1,In,Assessed,0.0,M2017004158-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-18363.5606352,-15159.101799487662,0.0,3204.4588357123375,-15159.101799487662,2019
