,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
0,1,In,Assessed,0.0,M2015005657-0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,258514.45599999995,261857.0,0.0,258514.45599999995,3342.5440000000526,261857.0,2018
1,1,In,Assessed,0.0,M2015009122-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-130609.61588999999,-121057.17,0.0,-130609.61588999999,9552.445889999988,-121057.17,2018
2,1,In,Assessed,0.0,M2015009122-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,249039.83999999997,74256.0,0.0,249039.83999999997,-174783.83999999997,74256.0,2018
3,1,In,Assessed,0.0,M2016004903-0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-71058.10608,-83648.76000000001,0.0,-71058.10608,-12590.653920000012,-83648.76000000001,2018
4,1,In,Assessed,0.0,M2016004903-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,71050.925999,65854.447,0.0,71050.925999,-5196.478998999999,65854.447,2018
5,1,In,Assessed,0.0,M2016008472-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-25822.848282,-23876.622,0.0,-25822.848282,1946.2262819999996,-23876.622,2018
6,1,In,Assessed,0.0,M2016008472-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,25852.7072,7708.4800000000005,0.0,25852.7072,-18144.2272,7708.4800000000005,2018
7,1,In,Assessed,0.0,M2017000673-0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-29647.57517802,-27413.08542,0.0,-29647.57517802,2234.4897580200013,-27413.08542,2018
8,1,In,Assessed,0.0,M2017000673-0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,29647.6,8840.0,0.0,29647.6,-20807.6,8840.0,2018
9,1,In,Assessed,0.0,M2017014888-1,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-213614.112,-251464.0,-200068.5256014249,-13545.586398575106,-37849.888000000006,-51395.47439857511,2018
