DIST_ID,PROC_NUM,FOLIO_NUM,SITE_ADDR,ASSE_DATE,FEET_CODE,STATUS_CODE,COL_CON,COL_ADM,CRED_AMT,DEF_AMT,DEF_ADM,CODE,ASSD_BASIS_QTY,YEAR
2,2000BISCAYN-0,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1234893.45,24697.87,0,0,0,222-00,393,2019
2,2000BISCAYN-0,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1234893.45,24697.87,0,0,0,841-01,"-5,472.00",2019
2,2000BISCAYN-0,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1234893.45,24697.87,0,0,0,841-01,"-14,000.00",2019
2,2000BISCAYN-1,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1077714.32,21554.28,0,0,0,222-00,393,2019
2,2000BISCAYN-1,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1077714.32,21554.28,0,0,0,841-00,"-5,472.00",2019
2,2000BISCAYN-1,1.3231E+11,2000 BISCAYNE BLVD,1/9/2019,ROAD,A,1077714.32,21554.28,0,0,0,841-00,"-14,000.00",2019
3.1,2015012315-0,1.22226E+12,165 BAL BAY DR,2/19/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,210-00,0,2015
6,AGAPEESTMATE-0,3.06018E+12,**SAMPLE ASSESSMENT**,10/9/2019,ROAD,A,241987.35,4839.75,0,0,0,253-00,42,2019
6,AGAPEESTMATE-0,3.06018E+12,**SAMPLE ASSESSMENT**,10/9/2019,ROAD,A,241987.35,4839.75,0,0,0,565-00,"4,407.00",2019
6,AGAPEESTMATE-0,3.06018E+12,**SAMPLE ASSESSMENT**,10/9/2019,ROAD,A,241987.35,4839.75,0,0,0,540-00,100,2019
2,B1150252200-0,1.3125E+11,170 NW 24 ST,12/13/2017,ROAD,C,"$24,639.95 ",$492.80 ,$0.00 ,$0.00 ,$0.00 ,820-00,"2,824.00",2017
2,B14002971001-0,1.4121E+11,3755 SW 37 AVE,3/17/2015,ROAD,A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,210-00,0,2015
8,B1405220-0,3.3203E+11,8055 NOREMAC AVE,3/16/2015,ROAD,C,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,210-00,0,2015
8,B1502298-0,2.3222E+11,4300 ALTON RD,6/4/2015,ROAD,C,"$25,344.61 ",$506.89 ,$0.00 ,$0.00 ,$0.00 ,150-00,"7,149.00",2015
7,B1994040355-0,3.4108E+11,3894 SW 8 ST,9/16/2019,ROAD,C,6663.53,133.27,0,0,0,820-00,"-1,600.00",2019
7,B1994040355-0,3.4108E+11,3894 SW 8 ST,9/16/2019,ROAD,C,6663.53,133.27,0,0,0,832-00,"1,600.00",2019
9,B1994080018-0,2.72029E+12,13595 NW 102 AVE,9/13/2016,ROAD,C,$861.76 ,$17.24 ,$0.00 ,$0.00 ,$0.00 ,210-00,1,2016
8,B199500408-1,2.4203E+11,650 WEST AVE,4/22/2019,ROAD,C,11774.18,235.48,0,0,0,832-00,"1,335.00",2019
2,B19960015207-1,1.41381E+11,104 SW 9 ST,12/13/2017,ROAD,C,"$12,187.44 ",$243.75 ,$0.00 ,$0.00 ,$0.00 ,820-00,"5,419.00",2017
2,B199603371-0,1.31261E+11,1695 NW 20 ST,8/8/2019,ROAD,C,4087.64,81.75,0,0,0,820-01,"14,667.00",2019
2,B199603371-0,1.31261E+11,1695 NW 20 ST,8/8/2019,ROAD,C,4087.64,81.75,0,0,0,150-00,"-19,477.00",2019
9,B1996075734-0,3.03104E+12,2796 NW 88 ST,12/5/2017,ROAD,A,$524.51 ,$10.49 ,$0.00 ,$0.00 ,$0.00 ,210-00,-1,2017
9,B1996075734-0,3.03104E+12,2796 NW 88 ST,12/5/2017,ROAD,A,$524.51 ,$10.49 ,$0.00 ,$0.00 ,$0.00 ,230-00,2,2017
6,B1996508075-0,1.07917E+12,1532 NE 8 ST,9/11/2019,ROAD,C,8156.91,163.13,0,0,0,832-00,"1,183.00",2019
6,B1996508075-0,1.07917E+12,1532 NE 8 ST,9/11/2019,ROAD,C,8156.91,163.13,0,0,0,820-00,"-1,183.00",2019
6,B19971000569-0,1.07907E+12,97 NE 15 ST,8/13/2019,ROAD,C,5164.56,103.29,0,0,0,210-00,-1,2019
6,B19971000569-0,1.07907E+12,97 NE 15 ST,8/13/2019,ROAD,C,5164.56,103.29,0,0,0,710-00,"2,522.00",2019
2,B19990016966-0,1.3127E+11,2905 NW 27 AVE,12/4/2019,ROAD,C,6725.49,134.51,0,0,0,820-01,"10,118.00",2019
2,B19990016966-0,1.3127E+11,2905 NW 27 AVE,12/4/2019,ROAD,C,6725.49,134.51,0,0,0,140-00,"-10,118.00",2019
2,B1999010168-0,1.4121E+11,3160 FLORIDA AVE,7/9/2020,ROAD,C,"$12,422.79 ",$248.46 ,$0.00 ,$0.00 ,$0.00 ,231-00,-2,2020
2,B1999010168-0,1.4121E+11,3160 FLORIDA AVE,7/9/2020,ROAD,C,"$12,422.79 ",$248.46 ,$0.00 ,$0.00 ,$0.00 ,820-00,"1,318.00",2020
9.1,B199904760-0,4.30022E+11,1793 W 37 ST (#2),9/26/2019,ROAD,A,8369.71,167.4,0,0,0,150-00,"-4,870.00",2019
